# D = 30
# z-slice at iz = N/2 (z = p/2)
# x/p  y/p  delta  vx  vy  vz
0.046875  0.953125  1.43318  -0.000490945  0.000490945  4.48189e-19
0.046875  0.96875  1.54762  -0.000511336  0.000357399  -1.62496e-19
0.046875  0.984375  1.61359  -0.000524238  0.000188865  -7.67144e-20

0.0625  0  1.45675  -0.00060558  -9.06777e-20  5.42582e-20
0.0625  0.015625  1.43627  -0.000603299  -0.000172748  3.19351e-19
0.0625  0.03125  1.38356  -0.000595204  -0.000330472  2.77378e-19
0.0625  0.046875  1.29667  -0.000579867  -0.000460929  -1.44785e-19
0.0625  0.0625  1.18485  -0.000555656  -0.000555656  1.02522e-19
0.0625  0.078125  1.05821  -0.000519911  -0.000612023  -1.67351e-19
0.0625  0.09375  0.915148  -0.000473663  -0.000634844  1.0524e-19
0.0625  0.109375  0.765257  -0.000418064  -0.000630847  4.79654e-19
0.0625  0.125  0.618971  -0.000354359  -0.000608304  -4.01128e-19
0.0625  0.140625  0.47966  -0.000285245  -0.000576586  1.89217e-19
0.0625  0.15625  0.348942  -0.000214044  -0.000543669  -9.79942e-20
0.0625  0.171875  0.229103  -0.000143603  -0.00051509  1.97644e-19
0.0625  0.1875  0.122101  -7.58881e-05  -0.000494103  5.28521e-20
0.0625  0.203125  0.0283069  -1.21096e-05  -0.000482336  -9.25573e-20
0.0625  0.21875  -0.0535237  4.70098e-05  -0.000480336  3.0085e-21
0.0625  0.234375  -0.125356  0.000101012  -0.000487839  -6.08096e-21
0.0625  0.25  -0.188784  0.000149592  -0.000503778  -1.4423e-20
0.0625  0.265625  -0.244394  0.000192657  -0.000526169  -1.36442e-19
0.0625  0.28125  -0.292147  0.000230506  -0.00055221  9.3155e-20
0.0625  0.296875  -0.332632  0.000263879  -0.000578905  -3.34158e-20
0.0625  0.3125  -0.36777  0.000293496  -0.000603796  9.25577e-20
0.0625  0.328125  -0.399298  0.000319407  -0.000624501  5.03932e-19
0.0625  0.34375  -0.426655  0.000341321  -0.000637361  1.13601e-19
0.0625  0.359375  -0.44879  0.000359958  -0.000638367  -7.65954e-20
0.0625  0.375  -0.467816  0.000376571  -0.000626058  -3.39079e-19
0.0625  0.390625  -0.485399  0.000390583  -0.000599496  -5.44564e-19
0.0625  0.40625  -0.498927  0.000401505  -0.000555569  9.89117e-19
0.0625  0.421875  -0.509806  0.000411305  -0.000494772  -9.09485e-19
0.0625  0.4375  -0.520338  0.000419137  -0.000419137  2.18679e-19
0.0625  0.453125  -0.526686  0.000424592  -0.000328301  -1.60072e-19
0.0625  0.46875  -0.532392  0.000429419  -0.000226236  -5.1616e-19
0.0625  0.484375  -0.534938  0.000431196  -0.000115333  -1.15005e-19
0.0625  0.5  -0.535931  0.000432595  -1.03578e-18  3.13572e-20
0.0625  0.515625  -0.534938  0.000431196  0.000115333  1.88568e-19
0.0625  0.53125  -0.532392  0.000429419  0.000226236  -1.51611e-19
0.0625  0.546875  -0.526686  0.000424592  0.000328301  -6.27186e-20
0.0625  0.5625  -0.520338  0.000419137  0.000419137  -5.33668e-19
0.0625  0.578125  -0.509806  0.000411305  0.000494772  1.83385e-19
0.0625  0.59375  -0.498927  0.000401505  0.000555569  -3.97284e-19
0.0625  0.609375  -0.485399  0.000390583  0.000599496  -3.49894e-19
0.0625  0.625  -0.467816  0.000376571  0.000626058  6.03284e-21
0.0625  0.640625  -0.44879  0.000359958  0.000638367  2.30029e-19
0.0625  0.65625  -0.426655  0.000341321  0.000637361  4.26971e-19
0.0625  0.671875  -0.399298  0.000319407  0.000624501  3.39914e-19
0.0625  0.6875  -0.36777  0.000293496  0.000603796  2.58228e-19
0.0625  0.703125  -0.332632  0.000263879  0.000578905  1.62668e-19
0.0625  0.71875  -0.292147  0.000230506  0.00055221  4.03454e-20
0.0625  0.734375  -0.244394  0.000192657  0.000526169  2.25321e-19
0.0625  0.75  -0.188784  0.000149592  0.000503778  1.49615e-19
0.0625  0.765625  -0.125356  0.000101012  0.000487839  -1.08297e-19
0.0625  0.78125  -0.0535237  4.70098e-05  0.000480336  -1.7324e-19
0.0625  0.796875  0.0283069  -1.21096e-05  0.000482336  -1.87897e-19
0.0625  0.8125  0.122101  -7.58881e-05  0.000494103  1.08967e-19
0.0625  0.828125  0.229103  -0.000143603  0.00051509  2.02673e-19
0.0625  0.84375  0.348942  -0.000214044  0.000543669  1.46795e-19
0.0625  0.859375  0.47966  -0.000285245  0.000576586  -4.49211e-19
0.0625  0.875  0.618971  -0.000354359  0.000608304  -5.88618e-20
0.0625  0.890625  0.765257  -0.000418064  0.000630847  2.87792e-19
0.0625  0.90625  0.915148  -0.000473663  0.000634844  -1.69635e-19
0.0625  0.921875  1.05821  -0.000519911  0.000612023  -2.62785e-19
0.0625  0.9375  1.18485  -0.000555656  0.000555656  -5.17385e-20
0.0625  0.953125  1.29667  -0.000579867  0.000460929  2.42485e-20
0.0625  0.96875  1.38356  -0.000595204  0.000330472  3.75949e-19
0.0625  0.984375  1.43627  -0.000603299  0.000172748  4.60934e-19

0.078125  0  1.23463  -0.000634812  4.35826e-19  3.87697e-19
0.078125  0.015625  1.22493  -0.00063409  -0.000154421  3.52917e-19
0.078125  0.03125  1.19234  -0.000632028  -0.000298215  4.94764e-19
0.078125  0.046875  1.13777  -0.000625537  -0.000422156  3.47094e-19
0.078125  0.0625  1.05821  -0.000612023  -0.000519911  -6.82861e-20
0.078125  0.078125  0.960415  -0.000587417  -0.000587417  3.62198e-20
0.078125  0.09375  0.849152  -0.000548693  -0.000624866  2.8856e-19
0.078125  0.109375  0.72687  -0.000495895  -0.000636701  1.27859e-19
0.078125  0.125  0.600192  -0.000430271  -0.000628943  -1.35152e-19
0.078125  0.140625  0.475097  -0.000354348  -0.000608679  5.24017e-21
0.078125  0.15625  0.354918  -0.000272016  -0.000583128  -2.98444e-19
0.078125  0.171875  0.242163  -0.000187444  -0.000558211  7.15943e-20
0.078125  0.1875  0.138935  -0.000104137  -0.000538026  -2.99502e-19
0.078125  0.203125  0.0463709  -2.4624e-05  -0.000524992  4.53913e-20
0.078125  0.21875  -0.0356309  4.94361e-05  -0.000520219  -1.43277e-19
0.078125  0.234375  -0.108012  0.00011703  -0.000523805  8.45676e-20
0.078125  0.25  -0.171853  0.00017762  -0.00053497  8.6972e-20
0.078125  0.265625  -0.227868  0.000231096  -0.000552094  -4.75489e-20
0.078125  0.28125  -0.276489  0.000277806  -0.000572856  9.98948e-20
0.078125  0.296875  -0.318412  0.000318452  -0.000594619  -1.77288e-19
0.078125  0.3125  -0.354866  0.000353718  -0.000614796  1.04626e-19
0.078125  0.328125  -0.386876  0.000383936  -0.000630689  1.89382e-19
0.078125  0.34375  -0.414471  0.000409406  -0.000639057  1.86226e-19
0.078125  0.359375  -0.437667  0.00043099  -0.000636777  4.43279e-19
0.078125  0.375  -0.457692  0.000449463  -0.000621964  3.40647e-19
0.078125  0.390625  -0.47511  0.000464641  -0.000592972  1.10072e-19
0.078125  0.40625  -0.489048  0.000476879  -0.000547954  6.53449e-19
0.078125  0.421875  -0.500506  0.000487155  -0.000487155  9.84574e-19
0.078125  0.4375  -0.509806  0.000494772  -0.000411305  1.28104e-18
0.078125  0.453125  -0.515782  0.000500283  -0.000321349  1.56632e-19
0.078125  0.46875  -0.520367  0.000504237  -0.000220643  2.58157e-19
0.078125  0.484375  -0.522449  0.000506117  -0.00011219  2.60969e-19
0.078125  0.5  -0.523466  0.000507125  1.77739e-19  -5.96101e-19
0.078125  0.515625  -0.522449  0.000506117  0.00011219  4.05041e-19
0.078125  0.53125  -0.520367  0.000504237  0.000220643  -3.44478e-19
0.078125  0.546875  -0.515782  0.000500283  0.000321349  2.67925e-19
0.078125  0.5625  -0.509806  0.000494772  0.000411305  -2.26441e-19
0.078125  0.578125  -0.500506  0.000487155  0.000487155  4.65157e-19
0.078125  0.59375  -0.489048  0.000476879  0.000547954  4.89917e-19
0.078125  0.609375  -0.47511  0.000464641  0.000592972  1.64098e-19
0.078125  0.625  -0.457692  0.000449463  0.000621964  4.56549e-19
0.078125  0.640625  -0.437667  0.00043099  0.000636777  3.77352e-19
0.078125  0.65625  -0.414471  0.000409406  0.000639057  2.43395e-19
0.078125  0.671875  -0.386876  0.000383936  0.000630689  -1.09069e-19
0.078125  0.6875  -0.354866  0.000353718  0.000614796  2.17148e-19
0.078125  0.703125  -0.318412  0.000318452  0.000594619  -6.19492e-20
0.078125  0.71875  -0.276489  0.000277806  0.000572856  1.8117e-19
0.078125  0.734375  -0.227868  0.000231096  0.000552094  6.14546e-20
0.078125  0.75  -0.171853  0.00017762  0.00053497  2.13918e-19
0.078125  0.765625  -0.108012  0.00011703  0.000523805  -3.19125e-19
0.078125  0.78125  -0.0356309  4.94361e-05  0.000520219  2.80656e-20
0.078125  0.796875  0.0463709  -2.4624e-05  0.000524992  7.39071e-20
