# step = 12000, time = 0.12, G_eff = 5000
# x  rho  phase  re  im  V
0.47168  3.91825  0.50895  1.72858  0.964511  -0.0425447
0.473633  3.95818  0.507299  1.73896  0.966543  -0.0427121
0.475586  3.99576  0.505767  1.74868  0.968443  -0.0428682
0.477539  4.03089  0.504354  1.75772  0.970208  -0.0430128
0.479492  4.06347  0.50306  1.76607  0.971836  -0.0431459
0.481445  4.0934  0.501884  1.77371  0.973324  -0.0432673
0.483398  4.12059  0.500827  1.78062  0.97467  -0.0433768
0.485352  4.14498  0.499888  1.7868  0.975872  -0.0434745
0.487305  4.16648  0.499066  1.79223  0.976928  -0.0435602
0.489258  4.18503  0.498363  1.7969  0.977836  -0.0436338
0.491211  4.20057  0.497777  1.80081  0.978596  -0.0436952
0.493164  4.21306  0.497308  1.80395  0.979205  -0.0437444
0.495117  4.22247  0.496957  1.8063  0.979662  -0.0437814
0.49707  4.22875  0.496723  1.80788  0.979968  -0.043806
0.499023  4.2319  0.496606  1.80866  0.98012  -0.0438184
0.500977  4.2319  0.496606  1.80866  0.98012  -0.0438184
0.50293  4.22875  0.496723  1.80788  0.979968  -0.043806
0.504883  4.22247  0.496957  1.8063  0.979662  -0.0437814
0.506836  4.21306  0.497308  1.80395  0.979205  -0.0437444
0.508789  4.20057  0.497777  1.80081  0.978596  -0.0436952
0.510742  4.18503  0.498363  1.7969  0.977836  -0.0436338
0.512695  4.16648  0.499066  1.79223  0.976928  -0.0435602
0.514648  4.14498  0.499888  1.7868  0.975872  -0.0434745
0.516602  4.12059  0.500827  1.78062  0.97467  -0.0433768
0.518555  4.0934  0.501884  1.77371  0.973324  -0.0432673
0.520508  4.06347  0.50306  1.76607  0.971836  -0.0431459
0.522461  4.03089  0.504354  1.75772  0.970208  -0.0430128
0.524414  3.99576  0.505767  1.74868  0.968443  -0.0428682
0.526367  3.95818  0.507299  1.73896  0.966543  -0.0427121
0.52832  3.91825  0.50895  1.72858  0.964511  -0.0425447
0.530273  3.87609  0.51072  1.71755  0.96235  -0.0423662
0.532227  3.83182  0.51261  1.7059  0.960064  -0.0421768
0.53418  3.78554  0.514619  1.69365  0.957654  -0.0419765
0.536133  3.73739  0.516748  1.68081  0.955124  -0.0417656
0.538086  3.68749  0.518997  1.66742  0.952479  -0.0415442
0.540039  3.63597  0.521365  1.65348  0.94972  -0.0413126
0.541992  3.58296  0.523852  1.63904  0.946851  -0.041071
0.543945  3.5286  0.526459  1.6241  0.943876  -0.0408194
0.545898  3.473  0.529184  1.6087  0.940799  -0.0405583
0.547852  3.41631  0.532027  1.59285  0.937622  -0.0402877
0.549805  3.35866  0.534989  1.57659  0.93435  -0.0400078
0.551758  3.30017  0.538067  1.55995  0.930985  -0.039719
0.553711  3.24097  0.541262  1.54294  0.927531  -0.0394214
0.555664  3.1812  0.544572  1.52559  0.923993  -0.0391152
0.557617  3.12096  0.547996  1.50794  0.920372  -0.0388008
0.55957  3.06038  0.551534  1.49  0.916673  -0.0384782
0.561523  2.99959  0.555183  1.4718  0.912899  -0.0381478
0.563477  2.93868  0.558943  1.45338  0.909054  -0.0378097
0.56543  2.87777  0.562811  1.43474  0.90514  -0.0374643
0.567383  2.81696  0.566786  1.41593  0.901162  -0.0371116
0.569336  2.75635  0.570866  1.39697  0.897121  -0.0367521
0.571289  2.69604  0.575048  1.37788  0.893023  -0.0363858
0.573242  2.63611  0.579331  1.35869  0.88887  -0.0360131
0.575195  2.57666  0.583712  1.33941  0.884664  -0.0356341
0.577148  2.51774  0.588188  1.32008  0.88041  -0.0352492
0.579102  2.45945  0.592757  1.30072  0.87611  -0.0348584
0.581055  2.40185  0.597415  1.28136  0.871768  -0.0344621
0.583008  2.345  0.602159  1.262  0.867386  -0.0340604
0.584961  2.28896  0.606987  1.24268  0.862968  -0.0336536
0.586914  2.23377  0.611895  1.22341  0.858517  -0.0332419
0.588867  2.1795  0.61688  1.20421  0.854036  -0.0328254
0.59082  2.12617  0.621937  1.1851  0.849527  -0.0324045
0.592773  2.07382  0.627064  1.16611  0.844995  -0.0319793
0.594727  2.0225  0.632257  1.14724  0.840441  -0.03155
0.59668  1.97221  0.637512  1.12851  0.835869  -0.0311167
0.598633  1.92299  0.642825  1.10994  0.831281  -0.0306798
0.600586  1.87485  0.648193  1.09153  0.826682  -0.0302394
0.602539  1.82781  0.653612  1.07332  0.822073  -0.0297956
0.604492  1.78187  0.659077  1.05529  0.817457  -0.0293486
0.606445  1.73705  0.664586  1.03747  0.812838  -0.0288987
0.608398  1.69335  0.670134  1.01987  0.808218  -0.028446
0.610352  1.65076  0.675718  1.00249  0.8036  -0.0279906
0.612305  1.60928  0.681335  0.985344  0.798987  -0.0275328
0.614258  1.56891  0.686981  0.968437  0.794382  -0.0270726
0.616211  1.52964  0.692652  0.951775  0.789787  -0.0266103
