# step = 360, a = 0.674906, z = 0.481689
# x  y  rho  log2rho
0.117188  0.195312  0.92716  0.656048
0.117188  0.210938  0.940664  0.66303
0.117188  0.226562  1.00363  0.694958
0.117188  0.242188  1.00458  0.695435
0.117188  0.257812  0.725606  0.545578
0.117188  0.273438  0.690525  0.525039
0.117188  0.289062  0.769789  0.57086
0.117188  0.304688  0.974812  0.680473
0.117188  0.320312  3.05362  1.39961
0.117188  0.335938  1.48658  0.910907
0.117188  0.351562  0.970719  0.678399
0.117188  0.367188  0.817042  0.59721
0.117188  0.382812  0.903052  0.643459
0.117188  0.398438  1.09154  0.737899
0.117188  0.414062  1.21804  0.796623
0.117188  0.429688  1.27182  0.82058
0.117188  0.445312  1.40327  0.876828
0.117188  0.460938  1.6137  0.960768
0.117188  0.476562  1.41111  0.880087
0.117188  0.492188  1.29958  0.832728
0.117188  0.507812  1.12585  0.754172
0.117188  0.523438  0.914805  0.649616
0.117188  0.539062  0.857984  0.619492
0.117188  0.554688  0.932212  0.658666
0.117188  0.570312  1.05165  0.718645
0.117188  0.585938  1.17188  0.775593
0.117188  0.601562  1.39594  0.873776
0.117188  0.617188  1.42571  0.886125
0.117188  0.632812  1.43054  0.888115
0.117188  0.648438  0.801387  0.588557
0.117188  0.664062  0.408149  0.342276
0.117188  0.679688  0.342576  0.29459
0.117188  0.695312  0.346997  0.297878
0.117188  0.710938  0.364249  0.310604
0.117188  0.726562  0.367771  0.313182
0.117188  0.742188  0.345225  0.296561
0.117188  0.757812  0.326402  0.28247
0.117188  0.773438  0.369388  0.314364
0.117188  0.789062  0.5474  0.436576
0.117188  0.804688  1.11753  0.75025
0.117188  0.820312  0.677643  0.51739
0.117188  0.835938  0.406026  0.340767
0.117188  0.851562  0.370464  0.315149
0.117188  0.867188  0.486093  0.396151
0.117188  0.882812  0.726624  0.546168
0.117188  0.898438  0.675261  0.515969
0.117188  0.914062  0.626277  0.486294
0.117188  0.929688  0.656291  0.504581
0.117188  0.945312  0.666776  0.510891
0.117188  0.960938  0.653071  0.502635
0.117188  0.976562  0.704901  0.533507
0.117188  0.992188  0.708734  0.535753

0.132812  0.0078125  0.841004  0.610311
0.132812  0.0234375  0.802439  0.58914
0.132812  0.0390625  0.847705  0.613944
0.132812  0.0546875  0.893067  0.638198
0.132812  0.0703125  0.907348  0.645714
0.132812  0.0859375  0.894273  0.638835
0.132812  0.101562  0.918993  0.651801
0.132812  0.117188  0.913778  0.649079
0.132812  0.132812  1.10797  0.745726
