# step = 0, a = 0.0196078, z = 50
# x  y  rho  log2rho
0.0859375  0.414062  1.08269  0.733662
0.0859375  0.429688  1.08377  0.734178
0.0859375  0.445312  1.12814  0.755246
0.0859375  0.460938  1.10011  0.741991
0.0859375  0.476562  1.08017  0.732451
0.0859375  0.492188  1.06444  0.724857
0.0859375  0.507812  1.05832  0.721892
0.0859375  0.523438  1.04345  0.714641
0.0859375  0.539062  1.07646  0.730665
0.0859375  0.554688  1.01134  0.698799
0.0859375  0.570312  1.0007  0.693496
0.0859375  0.585938  0.956164  0.670986
0.0859375  0.601562  0.955368  0.670578
0.0859375  0.617188  0.824912  0.601532
0.0859375  0.632812  0.856102  0.618479
0.0859375  0.648438  0.897038  0.640294
0.0859375  0.664062  0.900558  0.642148
0.0859375  0.679688  0.920219  0.652439
0.0859375  0.695312  0.897938  0.640768
0.0859375  0.710938  0.864947  0.623233
0.0859375  0.726562  0.871139  0.626547
0.0859375  0.742188  0.898184  0.640898
0.0859375  0.757812  0.915358  0.649904
0.0859375  0.773438  0.978752  0.682466
0.0859375  0.789062  1.02455  0.70535
0.0859375  0.804688  0.975836  0.680992
0.0859375  0.820312  0.951043  0.668364
0.0859375  0.835938  0.997562  0.691928
0.0859375  0.851562  0.972546  0.679325
0.0859375  0.867188  0.999695  0.692995
0.0859375  0.882812  0.941496  0.663459
0.0859375  0.898438  0.905448  0.644717
0.0859375  0.914062  0.911492  0.647884
0.0859375  0.929688  0.925621  0.655248
0.0859375  0.945312  0.855285  0.618038
0.0859375  0.960938  0.891666  0.637458
0.0859375  0.976562  0.929597  0.657311
0.0859375  0.992188  0.85602  0.618434

0.101562  0.0078125  0.863909  0.622676
0.101562  0.0234375  0.856539  0.618714
0.101562  0.0390625  0.898776  0.641209
0.101562  0.0546875  0.94854  0.66708
0.101562  0.0703125  0.981595  0.683902
0.101562  0.0859375  1.04006  0.71298
0.101562  0.101562  0.985003  0.68562
0.101562  0.117188  1.0112  0.698731
0.101562  0.132812  1.02966  0.70787
0.101562  0.148438  1.03727  0.71161
0.101562  0.164062  1.03779  0.711867
0.101562  0.179688  0.996399  0.691345
0.101562  0.195312  0.990852  0.688563
0.101562  0.210938  0.982031  0.684122
0.101562  0.226562  0.979019  0.682601
0.101562  0.242188  0.957306  0.671569
0.101562  0.257812  0.997171  0.691731
0.101562  0.273438  1.04556  0.715673
0.101562  0.289062  0.979561  0.682875
0.101562  0.304688  0.946313  0.665937
0.101562  0.320312  0.989979  0.688124
0.101562  0.335938  1.03363  0.709824
0.101562  0.351562  1.13432  0.758149
0.101562  0.367188  1.06808  0.72662
0.101562  0.382812  1.01705  0.701634
0.101562  0.398438  0.997863  0.692078
0.101562  0.414062  1.1017  0.742748
0.101562  0.429688  1.09255  0.738384
0.101562  0.445312  1.16336  0.771661
0.101562  0.460938  1.20664  0.791469
0.101562  0.476562  1.07668  0.730768
0.101562  0.492188  1.06875  0.726944
0.101562  0.507812  1.10224  0.743005
0.101562  0.523438  1.07084  0.727957
0.101562  0.539062  1.05829  0.721878
0.101562  0.554688  1.00575  0.696018
0.101562  0.570312  1.02125  0.703715
0.101562  0.585938  0.958356  0.672105
0.101562  0.601562  0.925602  0.655239
0.101562  0.617188  0.899481  0.641581
0.101562  0.632812  0.959034  0.672452
0.101562  0.648438  0.973365  0.67974
0.101562  0.664062  0.886836  0.634901
0.101562  0.679688  0.869955  0.625914
0.101562  0.695312  0.880994  0.631801
0.101562  0.710938  0.896001  0.639747
0.101562  0.726562  0.915853  0.650163
0.101562  0.742188  0.917618  0.651084
0.101562  0.757812  0.881443  0.632039
0.101562  0.773438  0.95337  0.669556
0.101562  0.789062  1.00439  0.695339
0.101562  0.804688  0.999576  0.692935
0.101562  0.820312  0.950721  0.668199
0.101562  0.835938  0.952307  0.669012
0.101562  0.851562  0.894663  0.639041
0.101562  0.867188  0.997421  0.691857
0.101562  0.882812  0.993692  0.689988
0.101562  0.898438  0.896117  0.639808
0.101562  0.914062  0.949826  0.66774
0.101562  0.929688  0.942466  0.663958
0.101562  0.945312  0.87542  0.628833
0.101562  0.960938  0.827235  0.602804
0.101562  0.976562  0.862791  0.622076
0.101562  0.992188  0.880254  0.631407

0.117188  0.0078125  0.890253  0.63671
0.117188  0.0234375  0.899179  0.641422
0.117188  0.0390625  0.981075  0.683639
0.117188  0.0546875  0.963904  0.674934
0.117188  0.0703125  0.975189  0.680664
0.117188  0.0859375  0.977495  0.681831
0.117188  0.101562  0.975664  0.680904
0.117188  0.117188  1.02495  0.705547
0.117188  0.132812  1.01124  0.69875
0.117188  0.148438  1.06581  0.725523
0.117188  0.164062  1.06384  0.724567
0.117188  0.179688  0.990869  0.688571
0.117188  0.195312  0.936473  0.660868
0.117188  0.210938  1.00674  0.696513
0.117188  0.226562  0.980186  0.683191
0.117188  0.242188  0.967804  0.676918
0.117188  0.257812  0.921891  0.65331
0.117188  0.273438  1.03252  0.709277
0.117188  0.289062  1.0151  0.700667
0.117188  0.304688  1.00986  0.698067
0.117188  0.320312  1.1022  0.742987
0.117188  0.335938  1.11319  0.748198
0.117188  0.351562  1.04525  0.715521
0.117188  0.367188  0.977747  0.681958
0.117188  0.382812  0.974554  0.680343
0.117188  0.398438  0.995662  0.690976
0.117188  0.414062  1.09045  0.737378
0.117188  0.429688  1.04148  0.713673
0.117188  0.445312  1.13933  0.760492
0.117188  0.460938  1.20932  0.792684
0.117188  0.476562  1.11906  0.75097
0.117188  0.492188  1.07621  0.730545
0.117188  0.507812  1.09385  0.739004
0.117188  0.523438  1.01664  0.701435
0.117188  0.539062  0.942198  0.66382
0.117188  0.554688  0.967126  0.676574
0.117188  0.570312  0.958645  0.672253
0.117188  0.585938  0.976898  0.681529
0.117188  0.601562  0.895708  0.639592
0.117188  0.617188  0.849589  0.614964
0.117188  0.632812  0.964428  0.675201
0.117188  0.648438  0.984817  0.685527
0.117188  0.664062  0.9167  0.650605
0.117188  0.679688  0.859768  0.620452
0.117188  0.695312  0.92361  0.654204
0.117188  0.710938  0.930705  0.657885
0.117188  0.726562  0.905179  0.644576
0.117188  0.742188  0.940098  0.662739
0.117188  0.757812  0.862866  0.622116
0.117188  0.773438  0.923349  0.654068
0.117188  0.789062  0.996853  0.691572
0.117188  0.804688  1.03166  0.708851
0.117188  0.820312  0.98246  0.684339
0.117188  0.835938  0.861756  0.62152
0.117188  0.851562  0.874785  0.628494
0.117188  0.867188  1.01965  0.702925
0.117188  0.882812  1.02718  0.706645
0.117188  0.898438  0.933028  0.659088
0.117188  0.914062  0.882767  0.632742
0.117188  0.929688  0.886278  0.634606
0.117188  0.945312  0.916348  0.650421
0.117188  0.960938  0.934143  0.659664
0.117188  0.976562  0.896718  0.640125
0.117188  0.992188  0.908855  0.646504

0.132812  0.0078125  0.976154  0.681153
0.132812  0.0234375  0.977987  0.68208
0.132812  0.0390625  1.03325  0.709634
0.132812  0.0546875  1.00735  0.696814
0.132812  0.0703125  1.06002  0.722716
0.132812  0.0859375  1.04637  0.716067
0.132812  0.101562  1.03478  0.710389
0.132812  0.117188  1.02551  0.70582
0.132812  0.132812  0.981531  0.68387
0.132812  0.148438  1.01778  0.701997
0.132812  0.164062  1.01694  0.701581
0.132812  0.179688  0.996231  0.691261
0.132812  0.195312  0.907567  0.645829
0.132812  0.210938  0.981843  0.684027
0.132812  0.226562  0.967745  0.676888
0.132812  0.242188  0.961573  0.673747
0.132812  0.257812  0.934516  0.659857
0.132812  0.273438  1.0081  0.69719
0.132812  0.289062  1.02729  0.7067
0.132812  0.304688  1.13638  0.759111
0.132812  0.320312  1.10872  0.746081
0.132812  0.335938  1.07815  0.73148
0.132812  0.351562  1.01864  0.702426
0.132812  0.367188  0.898946  0.641299
0.132812  0.382812  0.913642  0.649008
0.132812  0.398438  1.00609  0.696188
0.132812  0.414062  1.05052  0.718095
0.132812  0.429688  1.00595  0.696118
0.132812  0.445312  1.0728  0.728903
0.132812  0.460938  1.16988  0.774673
0.132812  0.476562  1.1306  0.756403
0.132812  0.492188  1.11087  0.747099
0.132812  0.507812  1.06212  0.723736
0.132812  0.523438  0.957257  0.671544
0.132812  0.539062  0.924026  0.65442
0.132812  0.554688  0.925734  0.655307
0.132812  0.570312  0.893633  0.638497
0.132812  0.585938  0.897637  0.640609
0.132812  0.601562  0.947849  0.666726
0.132812  0.617188  0.963037  0.674493
0.132812  0.632812  0.939141  0.662245
0.132812  0.648438  0.934664  0.659934
0.132812  0.664062  0.909441  0.64681
0.132812  0.679688  0.844417  0.612163
0.132812  0.695312  0.859181  0.620136
0.132812  0.710938  0.881851  0.632256
0.132812  0.726562  0.953502  0.669623
0.132812  0.742188  0.921771  0.653247
0.132812  0.757812  0.891819  0.637539
0.132812  0.773438  0.905975  0.644994
0.132812  0.789062  0.944093  0.664796
0.132812  0.804688  0.962707  0.674325
0.132812  0.820312  0.961284  0.673599
0.132812  0.835938  0.907982  0.646046
0.132812  0.851562  0.931796  0.65845
0.132812  0.867188  0.996673  0.691482
0.132812  0.882812  0.97377  0.679946
0.132812  0.898438  0.930968  0.658021
0.132812  0.914062  0.91906  0.651835
0.132812  0.929688  0.866302  0.623959
0.132812  0.945312  0.913473  0.64892
0.132812  0.960938  0.834394  0.606714
0.132812  0.976562  0.952541  0.669132
0.132812  0.992188  0.953369  0.669556

0.148438  0.0078125  0.980055  0.683125
0.148438  0.0234375  1.09128  0.737774
0.148438  0.0390625  1.10782  0.745656
0.148438  0.0546875  1.06352  0.724413
0.148438  0.0703125  1.0884  0.736396
0.148438  0.0859375  1.04441  0.715108
0.148438  0.101562  1.05873  0.722089
0.148438  0.117188  1.05318  0.719389
0.148438  0.132812  0.964721  0.67535
