# step = 18000, time = 0.18, G_eff = 0
# x  rho  phase  re  im  V
0.549805  1.16777  -0.847475  0.715247  -0.810055  0
0.551758  1.12721  -0.837436  0.710671  -0.78877  0
0.553711  1.08688  -0.826829  0.706018  -0.767085  0
0.555664  1.04691  -0.815629  0.701304  -0.745041  0
0.557617  1.00743  -0.803815  0.69654  -0.72268  0
0.55957  0.968567  -0.791362  0.691742  -0.700043  0
0.561523  0.930427  -0.778247  0.686926  -0.67717  0
0.563477  0.893122  -0.764446  0.682106  -0.654105  0
0.56543  0.856754  -0.749935  0.6773  -0.630888  0
0.567383  0.821419  -0.734692  0.672525  -0.60756  0
0.569336  0.7872  -0.718695  0.667798  -0.584163  0
0.571289  0.754179  -0.701925  0.663137  -0.560739  0
0.573242  0.722424  -0.684366  0.658562  -0.537327  0
0.575195  0.691998  -0.666005  0.654091  -0.513967  0
0.577148  0.662955  -0.646833  0.649745  -0.4907  0
0.579102  0.635341  -0.626846  0.645543  -0.467564  0
0.581055  0.609195  -0.606049  0.641505  -0.444597  0
0.583008  0.584547  -0.584451  0.637652  -0.421838  0
0.584961  0.56142  -0.562074  0.634004  -0.399323  0
0.586914  0.539829  -0.538946  0.630582  -0.377087  0
0.588867  0.519784  -0.515108  0.627408  -0.355166  0
0.59082  0.501287  -0.490613  0.624501  -0.333594  0
0.592773  0.484334  -0.465525  0.621883  -0.312402  0
0.594727  0.468916  -0.439922  0.619573  -0.291624  0
0.59668  0.455019  -0.413895  0.617592  -0.27129  0
0.598633  0.442623  -0.387545  0.61596  -0.251428  0
0.600586  0.431706  -0.360988  0.614696  -0.232067  0
0.602539  0.422241  -0.334346  0.613818  -0.213233  0
0.604492  0.414199  -0.307752  0.613345  -0.194952  0
0.606445  0.407547  -0.281343  0.613295  -0.177248  0
0.608398  0.402252  -0.255261  0.613683  -0.160142  0
0.610352  0.39828  -0.229646  0.614526  -0.143658  0
0.612305  0.395593  -0.204637  0.615839  -0.127812  0
0.614258  0.394157  -0.180367  0.617635  -0.112625  0
0.616211  0.393935  -0.156962  0.619927  -0.0981121  0
0.618164  0.394893  -0.134536  0.622727  -0.0842885  0
0.620117  0.396997  -0.113192  0.626045  -0.0711675  0
0.62207  0.400215  -0.0930187  0.62989  -0.0587611  0
0.624023  0.404516  -0.0740903  0.63427  -0.0470795  0
0.625977  0.409872  -0.0564663  0.639192  -0.0361312  0
0.62793  0.416258  -0.0401907  0.64466  -0.0259233  0
0.629883  0.423651  -0.025293  0.650676  -0.0164611  0
0.631836  0.432031  -0.0117886  0.657245  -0.00774837  0
0.633789  0.44138  0.0003202  0.664364  0.00021273  0
0.635742  0.451685  0.0110432  0.672034  0.0074217  0
0.637695  0.462934  0.0204009  0.680251  0.0138797  0
0.639648  0.475118  0.0284234  0.68901  0.0195893  0
0.641602  0.488233  0.0351491  0.698305  0.0245549  0
0.643555  0.502274  0.0406234  0.708128  0.0287824  0
0.645508  0.517241  0.0448977  0.71847  0.0322793  0
0.647461  0.533135  0.0480278  0.729319  0.0350546  0
0.649414  0.549958  0.0500737  0.740662  0.0371187  0
0.651367  0.567715  0.0510977  0.752485  0.0384838  0
0.65332  0.586409  0.0511645  0.764771  0.0391633  0
0.655273  0.606047  0.0503396  0.777504  0.0391723  0
0.657227  0.626632  0.0486892  0.790663  0.0385272  0
0.65918  0.64817  0.0462792  0.804228  0.0372456  0
0.661133  0.670663  0.0431751  0.818177  0.0353468  0
0.663086  0.694113  0.0394409  0.832487  0.0328511  0
0.665039  0.718519  0.0351396  0.847132  0.0297802  0
0.666992  0.743878  0.030332  0.862087  0.0261568  0
0.668945  0.770182  0.0250769  0.877324  0.0220052  0
0.670898  0.797421  0.0194307  0.892816  0.0173502  0
0.672852  0.82558  0.0134475  0.908532  0.0122182  0
0.674805  0.854638  0.00717837  0.924443  0.0066361  0
0.676758  0.884572  0.000671975  0.940517  0.000632004  0
0.678711  0.915351  -0.00602599  0.956722  -0.00576526  0
0.680664  0.946937  -0.0128726  0.973026  -0.0125261  0
0.682617  0.979289  -0.0198279  0.989396  -0.0196202  0
0.68457  1.01236  -0.0268545  1.0058  -0.0270167  0
0.686523  1.04608  -0.0339179  1.02219  -0.034684  0
0.688477  1.08041  -0.0409864  1.03856  -0.0425905  0
0.69043  1.11527  -0.0480306  1.05484  -0.0507037  0
0.692383  1.15057  -0.0550237  1.07102  -0.0589913  0
0.694336  1.18625  -0.0619413  1.08706  -0.0674204  0
0.696289  1.22221  -0.0687614  1.10292  -0.0759584  0
0.698242  1.25836  -0.0754638  1.11857  -0.0845724  0
0.700195  1.29459  -0.0820306  1.13397  -0.0932298  0
0.702148  1.3308  -0.0884455  1.14909  -0.101898  0
0.704102  1.36688  -0.0946942  1.1639  -0.110545  0
0.706055  1.4027  -0.100764  1.17835  -0.119139  0
0.708008  1.43816  -0.106643  1.19242  -0.127648  0
0.709961  1.47313  -0.112322  1.20608  -0.136042  0
0.711914  1.50747  -0.117792  1.21928  -0.14429  0
0.713867  1.54107  -0.123046  1.23201  -0.152364  0
0.71582  1.57379  -0.128077  1.24423  -0.160235  0
